year,state_abbr,state_name,population
1992,ND,     North Dakota,636000
1992,NE,     Nebraska,1606000
1992,NH,     New Hampshire,1111000
1992,NJ,     New Jersey,7789000
1992,NM,     New Mexico,1581000
1992,NV,     Nevada,1327000
1992,NY,     New York,18119000
1992,OH,     Ohio,11016000
1992,OK,     Oklahoma,3212000
1992,OR,     Oregon,2977000
1992,PA,     Pennsylvania,12009000
1992,RI,     Rhode Island,1005000
1992,SC,     South Carolina,3603000
1992,SD,     South Dakota,711000
1992,TN,     Tennessee,5024000
1992,TX,     Texas,17656000
1992,UT,     Utah,1813000
1992,VA,     Virginia,6377000
1992,VT,     Vermont,570000
1992,WA,     Washington,5136000
1992,WI,     Wisconsin,5007000
1992,WV,     West Virginia,1812000
1992,WY,     Wyoming,466000
1993,AK,     Alaska,599000
1993,AL,     Alabama,4187000
1993,AR,     Arkansas,2424000
1993,AZ,     Arizona,3936000
1993,CA,     California,31211000
1993,CO,     Colorado,3566000
1993,CT,     Connecticut,3277000
1993,DC,     District of Columbia,578000
1993,DE,     Delaware,700000
1993,FL,     Florida,13679000
1993,GA,     Georgia,6917000
1993,HI,     Hawaii,1172000
1993,IA,     Iowa,2814000
1993,ID,     Idaho,1099000
1993,IL,     Illinois,11697000
1993,IN,     Indiana,5713000
1993,KS,     Kansas,2531000
1993,KY,     Kentucky,3789000
1993,LA,     Louisiana,4295000
1993,MA,     Massachusetts,6012000
1993,MD,     Maryland,4965000
1993,ME,     Maine,1239000
1993,MI,     Michigan,9478000
1993,MN,     Minnesota,4517000
1993,MO,     Missouri,5234000
1993,MS,     Mississippi,2643000
1993,MT,     Montana,839000
1993,NC,     North Carolina,6945000
1993,ND,     North Dakota,635000
1993,NE,     Nebraska,1607000
1993,NH,     New Hampshire,1125000
1993,NJ,     New Jersey,7879000
1993,NM,     New Mexico,1616000
1993,NV,     Nevada,1389000
1993,NY,     New York,18197000
1993,OH,     Ohio,11091000
1993,OK,     Oklahoma,3231000
1993,OR,     Oregon,3032000
1993,PA,     Pennsylvania,12048000
1993,RI,     Rhode Island,1000000
1993,SC,     South Carolina,3643000
1993,SD,     South Dakota,715000
1993,TN,     Tennessee,5099000
1993,TX,     Texas,18031000
1993,UT,     Utah,1860000
1993,VA,     Virginia,6491000
1993,VT,     Vermont,576000
1993,WA,     Washington,5255000
1993,WI,     Wisconsin,5038000
1993,WV,     West Virginia,1820000
1993,WY,     Wyoming,470000
1994,AK,     Alaska,606000
1994,AL,     Alabama,4219000
1994,AR,     Arkansas,2453000
1994,AZ,     Arizona,4075000
1994,CA,     California,31431000
1994,CO,     Colorado,3656000
1994,CT,     Connecticut,3275000
1994,DC,     District of Columbia,570000
1994,DE,     Delaware,706000
1994,FL,     Florida,13953000
1994,GA,     Georgia,7055000
1994,HI,     Hawaii,1179000
1994,IA,     Iowa,2829000
1994,ID,     Idaho,1133000
1994,IL,     Illinois,11752000
1994,IN,     Indiana,5752000
1994,KS,     Kansas,2554000
1994,KY,     Kentucky,3827000
1994,LA,     Louisiana,4315000
1994,MA,     Massachusetts,6041000
1994,MD,     Maryland,5006000
1994,ME,     Maine,1240000
1994,MI,     Michigan,9496000
1994,MN,     Minnesota,4567000
1994,MO,     Missouri,5278000
1994,MS,     Mississippi,2669000
1994,MT,     Montana,856000
1994,NC,     North Carolina,7070000
1994,ND,     North Dakota,638000
1994,NE,     Nebraska,1623000
1994,NH,     New Hampshire,1137000
1994,NJ,     New Jersey,7904000
1994,NM,     New Mexico,1654000
